Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00309,56833.35,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
00310,57408.1,30600s (~8.5 hours),25200s (~7 hours),7200s (~2 hours)
00311,46948.8,25200s (~7 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00312,48970.8,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00313,40031.65,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00314,50552.9,23400s (~6.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00315,48826.45,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00316,63400.15,25200s (~7 hours),23400s (~6.5 hours),12600s (~3.5 hours)
00317,33242.6,25200s (~7 hours),19800s (~5.5 hours),1800s (~30 minutes)
00318,51024.45,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00319,64030.29999999999,19800s (~5.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00320,53659.2,25200s (~7 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00321,54243.9,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00322,52197.45,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00323,59851.29999999999,30600s (~8.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00324,40202.55,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
00325,48375.9,19800s (~5.5 hours),18000s (~5 hours),10800s (~3 hours)
00326,54242.35,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00327,63961,23400s (~6.5 hours),18000s (~5 hours),12600s (~3.5 hours)
